GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978655,Adams,Town,"5,143","2,126",42.4,Jefferson,North Country Region,1,"1,800",85,1,"2,000",94,1,0,0,3,"2,000",94,4,"2,000",94,4
978656,Addison,Town,"2,595","1,159",25.7,Steuben,Southern Tier Region,1,950,82,1,"1,000",86,1,0,0,3,"1,000",86,3,"1,100",95,4
978657,Afton,Town,"2,851","1,457",46.7,Chenango,Southern Tier Region,2,"1,100",75,2,"1,400",96,0,0,0,4,"1,400",96,6,"1,400",96,4
979664,Airmont,Village,"8,628","2,791",4.5,Rockland,Mid-Hudson Region,1,"2,700",97,2,"2,700",97,5,"2,600",93,7,"2,700",97,4,"2,700",97,4
942224,Akron,Village,"2,868","1,382",1.9,Erie,Western NY Region,1,"1,300",94,1,"1,300",94,1,0,0,3,"1,300",94,5,"1,300",94,4
978658,Alabama,Town,"1,869",765,52,Genesee,Finger Lakes Region,1,670,88,2,600,78,0,0,0,3,720,94,6,740,97,4
978659,Albany,City,"97,856","46,362",21.9,Albany,Capital Region,1,"44,900",97,1,"44,600",96,7,250,1,8,"44,900",97,6,"44,900",97,4
978660,Albion,Town,"8,468","2,800",25.4,Orleans,Finger Lakes Region,1,"2,700",96,1,"2,600",93,1,0,0,3,"2,700",96,4,"2,700",96,4
978661,Albion,Town,"2,073",881,47.8,Oswego,Central NY Region,1,400,45,2,810,92,0,0,0,3,830,94,3,850,96,4
978662,Alden,Town,"10,865","3,507",34.6,Erie,Western NY Region,1,"3,400",97,1,"3,300",94,1,0,0,3,"3,400",97,6,"3,400",97,4
978663,Alexander,Town,"2,534","1,005",35.6,Genesee,Finger Lakes Region,1,900,90,3,750,75,0,0,0,4,930,93,6,970,97,4
978664,Alexandria,Town,"4,061","3,419",84.4,Jefferson,North Country Region,1,320,9,2,"2,500",73,1,"2,400",70,4,"2,900",85,4,"3,100",91,4
942309,Alexandria Bay,Village,"1,078",700,1.5,Jefferson,North Country Region,1,10,1,1,650,93,1,660,94,3,670,96,3,650,93,4
978665,Alfred,Town,"5,237","1,165",31.6,Allegany,Western NY Region,1,970,83,1,"1,100",94,2,0,0,4,"1,100",94,3,"1,100",94,4
978666,Allegany,Town,"8,004","2,890",72.2,Cattaraugus,Western NY Region,1,"2,400",83,1,"2,400",83,1,0,0,3,"2,700",93,3,"2,800",97,4
942341,Allegany,Village,"1,816",826,0.7,Cattaraugus,Western NY Region,1,800,97,1,790,96,1,0,0,3,800,97,3,800,97,4
978667,Allegany Reservation,Tribal Community,"1,020",458,43.7,Cattaraugus,Western NY Region,1,220,48,2,390,85,1,0,0,4,390,85,3,440,96,4
978668,Allen,Town,448,475,36.6,Allegany,Western NY Region,0,0,0,1,120,25,0,0,0,1,120,25,4,460,97,4
978669,Alma,Town,842,595,36.5,Allegany,Western NY Region,1,120,20,1,220,37,0,0,0,2,290,49,2,450,76,4
978670,Almond,Town,"1,633",805,45.8,Allegany,Western NY Region,1,550,68,2,640,80,2,0,0,5,690,86,4,780,97,4
942397,Altamont,Village,"1,720",713,1.1,Albany,Capital Region,1,690,97,1,680,95,0,0,0,2,690,97,4,690,97,4
942401,Altmar,Village,407,165,2.2,Oswego,Central NY Region,1,150,91,1,160,97,0,0,0,2,160,97,2,160,97,4
978672,Altona,Town,"2,887","1,170",101.4,Clinton,North Country Region,2,780,67,3,830,71,2,150,13,5,960,82,5,"1,100",94,4
978673,Amboy,Town,"1,263",659,37.7,Oswego,Central NY Region,1,120,18,2,470,71,0,0,0,3,540,82,3,630,96,4
978674,Amenia,Town,"4,436","2,045",43.7,Dutchess,Mid-Hudson Region,1,"1,900",93,1,"1,700",83,2,0,0,4,"1,900",93,5,"1,900",93,4
942431,Ames,Village,145,66,0.1,Montgomery,Mohawk Valley Region,1,60,91,1,60,91,0,0,0,2,60,91,3,60,91,4
978675,Amherst,Town,"122,366","51,179",53.6,Erie,Western NY Region,1,"49,600",97,1,"41,000",80,4,"45,600",89,5,"49,600",97,6,"49,600",97,4
978676,Amity,Town,"2,308","1,172",34.6,Allegany,Western NY Region,1,930,79,1,980,84,1,0,0,3,"1,000",85,4,"1,100",94,4
942440,Amityville,Village,"9,523","3,997",2.4,Suffolk,Long Island Region,1,"3,800",95,2,"3,700",93,4,"3,800",95,6,"3,800",95,4,"3,800",95,4
978677,Amsterdam,City,"18,620","9,218",6.2,Montgomery,Mohawk Valley Region,1,"8,900",97,1,"8,800",95,0,0,0,2,"8,900",97,3,"8,900",97,4
978679,Ancram,Town,"1,573","1,010",42.7,Columbia,Capital Region,1,140,14,1,970,96,0,0,0,2,970,96,6,970,96,4
978680,Andes,Town,"1,301","1,459",112.1,Delaware,Southern Tier Region,1,330,23,3,"1,300",89,0,0,0,4,"1,300",89,3,"1,100",75,4
978681,Andover,Town,"1,830",898,39.5,Allegany,Western NY Region,1,650,72,2,840,94,1,0,0,4,840,94,3,870,97,4
978682,Angelica,Town,"1,403",836,36.5,Allegany,Western NY Region,1,650,78,1,0,0,1,0,0,3,660,79,4,810,97,4
942483,Angola,Village,"2,127",909,1.3,Erie,Western NY Region,1,880,97,1,880,97,1,0,0,3,880,97,5,880,97,4
978683,Annsville,Town,"3,012","1,232",60.5,Oneida,Mohawk Valley Region,1,940,76,1,900,73,0,0,0,2,"1,000",81,4,"1,100",89,4
978684,Antwerp,Town,"1,846",772,108.6,Jefferson,North Country Region,1,330,43,1,180,23,0,0,0,2,520,67,4,740,96,4
978685,Arcade,Town,"4,205","1,975",47.1,Wyoming,Finger Lakes Region,1,"1,400",71,1,"1,500",76,1,0,0,3,"1,600",81,4,"1,900",96,4
978686,Arcadia,Town,"14,244","6,194",52.1,Wayne,Finger Lakes Region,1,"5,800",94,2,"5,500",89,3,0,0,6,"5,800",94,5,"6,000",97,4
942544,Ardsley,Village,"4,452","1,639",1.3,Westchester,Mid-Hudson Region,1,"1,500",92,2,"1,500",92,4,"1,500",92,6,"1,500",92,4,"1,500",92,4
